Post Date,BAI Description,Text,Transaction Type,Transaction Amount
01/05/2025,WIRE OUT,"202505010006089   ALISON NATHAN                       SALES, CUSTOMER DEVELOPMENT SERVICES",DEBIT,($7447.64)
01/07/2025,ACH DEBIT,"Deel, Inc.        Deel Inc.         250701            ST-D0P8M2M0Q3B0091000010847944",DEBIT,($20653.94)
01/10/2025,Ach,BEST BRILLIANCE   ACH Pmt           inv 254000040021000024303631,ACH CREDIT,$6000.00
01/12/2025,Wire,202512010001406   ISCAR LTD                           INVOICES 2540000047,,$29970.00
01/21/2025,WIRE IN INTL,202501210006172   1/CARDUMEN DEEPTECH II ILS SCR-PYME II ILS SCR PYMES.ALESSFEES,CREDIT,$220602.50
01/21/2025,WIRE IN INTL,202501210006171   1/CARDUMEN DEEPTECH II A SCR-PYME S II A SCR PYME S.AP/ACCMBNYUS33XXXLE,CREDIT,$401118.00
01/21/2025,WIRE IN INTL,202501210006173   1/CARDUMEN DEEPTECH FUND II FCRE    FUND II FCREPRESEE,CREDIT,$2128189.50
01/30/2025,WIRE OUT,202501300023983   BRANDLIGHT AI LTD                   BANK,DEBIT,($1000000.00)
02/04/2025,WIRE OUT,202504020007131   ALISON NATHAN                       INVOICE 1 03.25,DEBIT,($6346.15)
02/04/2025,WIRE OUT INTL,202504020007130   GOLDFARB GROSS SELIGMAN AND CO,DEBIT,($25000.00)
02/04/2025,WIRE OUT,202504020016440   BRANDLIGHT AI LTD                   BANK,DEBIT,($1000000.00)
02/05/2025,ACH DEBIT,THE HARTFORD      INSPMTCL          250502            17931060000000000000000,DEBIT,($2724.00)
02/09/2025,Ach,The Yard 2 Lower  SIGONFILE         250902111924685383112,ACH DEBIT,($3555.00)
02/09/2025,Ach,The Yard 2 Lower  SIGONFILE         250902111924685655685,ACH DEBIT,($1550.00)
02/10/2025,Ach,The Yard 2 Lower  SIGONFILE         251002111924680569234,ACH DEBIT,($1550.00)
02/28/2025,ACH DEBIT,Corp E Corp       E-CHECK           250228            0213474016000000000000000,DEBIT,($450.00)
03/07/2025,ACH CREDIT,Milan Laser       PAYABLES          250703            1013515021000026473212,CREDIT,$36000.00
03/10/2025,Ach,HARTFORD FIRE IN  TRADE EXC         251003            0000566520051000012428907,ACH CREDIT,$30000.00
03/11/2025,Ach,BRANDLIGHT LTD    LEVERAGED         251103000814210000164,,($3500.00)
03/11/2025,Ach,The Yard 2 Lower  SIGONFILE         251103111924685384450,,($1550.00)
04/08/2025,ACH DEBIT,BRANDLIGHT LTD    CONSULTING        250804001533270000004,DEBIT,($5833.34)
04/11/2025,Wire,"202511040002355   NSKNOX TECHNOLOGIES, INC            BRANDLIGHT INC",,($2.61)
04/11/2025,Wire,202511040002356   PHILIP STEIN AND ASSOCIATES LTD     PRO FORMA INVOICE PI25006749   BRAND,,($1375.00)
04/11/2025,Wire,202511040001880   PRIME ONLINE LIMITED                BRANDLIGHT INC. INV254000048 ROUTING,,$5960.29
04/11/2025,Ach,NSKNOX TECHNOLOG  PAYMENTS          251104051000016214918,,$2.96
04/12/2025,Ach,KIMBERLY CL6933   EDI PAYMNT        251204            5400808111031100204235244,,$25000.00
04/15/2025,WIRE IN,202504150005461   RAFAEL GIDRON ATTAR RAN MGMT INVEST,CREDIT,$75000.00
04/15/2025,WIRE IN,202504150005866   RAFAEL GIDRON C/O JULIAN GIDRON ATT,CREDIT,$25000.00
04/16/2025,WIRE OUT,202504160005990   ALISON NATHAN,DEBIT,($7447.64)
04/17/2025,WIRE IN,202504170009983   AARON LEV GOLDMAN                   551,CREDIT,$10000.00
04/24/2025,WIRE IN,202504240014833   WILLIAM H WISE,CREDIT,$100000.00
05/13/2025,WIRE OUT,202505130002147   ALISON NATHAN,DEBIT,($8146.15)
05/15/2025,ACCOUNT ANALYSIS FEE,ANALYSIS ACTIVITY                    FOR 04/25,DEBIT,($32.00)
05/16/2025,WIRE IN,202505160019529   DID ENTERPRISES LLC                 WIRE TEST -DID ENTERPRISES,CREDIT,$10.00
05/19/2025,WIRE OUT,"202505190002171   SOUTH EDGEWATER ADVISORS, LLC       KELLOGG CMO SUMMIT",DEBIT,($1195.00)
05/21/2025,WIRE IN,202505210013161   DID ENTERPRISES LLC                 DID INVESTMENT,CREDIT,$154990.00
05/23/2025,WIRE IN,202505230013990   LG UPLUS FUND II LLC                LG UPLUS FUND II LLC/REC/OUROUR,CREDIT,$499998.64
05/27/2025,WIRE OUT,202505270003550   AMY KELLEY,DEBIT,($674.46)
05/27/2025,WIRE OUT,202505270003583   BRANDLIGHT AI LTD,DEBIT,($1500000.00)
05/28/2025,WIRE OUT,202505280002318   BRANDLIGHT AI LTD,DEBIT,($1940000.00)
05/29/2025,WIRE OUT,202505290025568   ALISON NATHAN,DEBIT,($14446.15)
06/10/2025,Ach,NSKNOX TECHNOLOG  PAYMENTS          251006051000010343563,ACH CREDIT,$2.61
06/10/2025,Ach,"Deel, Inc.        Deel Inc.         251006            ST-H9G7U8P5N9Q3091000019797737",ACH DEBIT,($20702.06)
06/16/2025,ACH CREDIT,"Xebia USA, Inc.   ACCTVERIFY        250616            015JZSSSTFJ76LL021000026408009",CREDIT,$0.01
06/17/2025,ACCOUNT ANALYSIS FEE,ANALYSIS ACTIVITY                    FOR 05/25,DEBIT,($52.50)
06/24/2025,ACH CREDIT,"Xebia USA, Inc.   Bill.com           Xebia USA, Inc. Bill.com 015FRVGELWJJK6JFor Invoice# IN254000009021000025692289",CREDIT,$15000.00
06/24/2025,WIRE OUT,202506240007100   ALISON NATHAN                       SALES & CUSTOMER DEVELOPMENT SERVICE,DEBIT,($9946.15)
06/24/2025,WIRE OUT,"202506240007101   ALISON NATHAN                       SALES, CUSTOMER DEVELOPMENT SERVICES",DEBIT,($3173.00)
06/25/2025,WIRE OUT,"202506250000672   INFLUENCE COLLECTIVE, LLC           BLAIPRFIN",DEBIT,($11200.00)
07/05/2025,ACH DEBIT,"ADO, INC.         SALE              250507000000000000000",DEBIT,($5000.00)
07/07/2025,ACH DEBIT,"Deel, Inc.        Deel Inc.         250707            ST-H0Y7V5R0X7E0091000018794978",DEBIT,($105.00)
07/07/2025,ACH CREDIT,SLOANE & COMPANY  PAYMENT           IN254000008021000021275570,CREDIT,$20000.00
07/11/2025,Wire,202511070000868   PAYEM CSMRS PRGM FUNDING            BRANDLIGHT AI,,($100000.00)
07/15/2025,ACCOUNT ANALYSIS FEE,ANALYSIS ACTIVITY                    FOR 06/25,DEBIT,($35.00)
07/22/2025,WIRE OUT,202507220001474   ALAN OSETEK,DEBIT,($10000.00)
07/28/2025,WIRE OUT,202507280002092   PAYEM CSMRS PRGM FUNDING            BRANDLIGHT AI,DEBIT,($250.00)
07/29/2025,ACH CREDIT,BEST BRILLIANCE   ACH Pmt           in254000011021000021057626,CREDIT,$6000.00
07/31/2025,WIRE IN INTL,202507310002419   PRIME ONLINE LIMITED                BRANDLIGHT INC. IN2540000018ROUTINGN,CREDIT,$5960.09
08/04/2025,WIRE IN,202504080008280   MR JOHN CHARLES NARDONE AND MARY T,CREDIT,$50000.00
08/07/2025,WIRE OUT,"202507080000139   ALISON NATHAN                       SALES, CUSTOMER DEVELOPMENT SERVICES",DEBIT,($2500.00)
08/10/2025,Ach,BRANDLIGHT.AI     Stripe - B        251008            ST-Z7Z3A9E9G6J7111000027778891,ACH CREDIT,$10680.70
08/13/2025,WIRE OUT,"202508130002038   NATIONAL EMPLOYER SERVICES, LLC     BRANDLIGHT INC",DEBIT,($15066.50)
08/13/2025,WIRE OUT,202508130002039   ALAN OSETEK                         BRANDLIGHT AI,DEBIT,($10000.00)
08/18/2025,Ach,Publicis Groupe   ACCTVERIFY        250818064209623416297,ACH CREDIT,$0.01
08/18/2025,Ach,BRANDLIGHT LTD    LEVERAGED         250818000811490000021,ACH DEBIT,($3500.00)
08/18/2025,Ach,Teneo Strategy L   USSC 8.15        250815            00004362/5022000022724892,ACH CREDIT,$36000.00
08/18/2025,Ach,BRANDLIGHT LTD    CONSULTING        250818000811490000031,ACH DEBIT,($7291.67)
08/19/2025,Ach,Google LLC        ACCTVERIFY        250819064209623428787,ACH CREDIT,$0.01
08/28/2025,Wire,202508280019173   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,WIRE OUT,($10000.00)
08/28/2025,Deposit,,DEPOSIT,$25000.00
08/28/2025,Wire,"202508280019176   NATIONAL EMPLOYER SERVICES, LLC     BRANDLIGHT INC",WIRE OUT,($18311.84)
08/28/2025,Wire,202508280019175   DAN PALAN                           BRANDLIGHT INC,WIRE OUT,($9230.00)
08/28/2025,Wire,202508280019174   YOSEF SAHAR NURIEL                  BRANDLIGHT,WIRE OUT INTL,($1600.00)
08/29/2025,Ach,"SuSea, Inc.       ACCTVERIFY        250829            015OMALADXMT818021000021934460",ACH CREDIT,$0.01
09/09/2025,Ach,"Deel, Inc.        Deel Inc.         250909            ST-I8Z6W6P4T8S7091000014106953",ACH DEBIT,($19374.63)
09/10/2025,Ach,BRANDLIGHT LTD    NSKNOX TEC        251009000812490000092,ACH DEBIT,($2.61)
09/10/2025,Wire,202510090003248   CONNEXUS LIMITED                    BRANDLIGHT INVOICE NO343,WIRE OUT INTL,($6743.25)
09/10/2025,Wire,202510090003249   CENSUSWIDE LTD                      BRANDLIGHT INVOICE NUMBER  SIN4486CW,WIRE OUT INTL,($6000.00)
09/10/2025,Ach,BRANDLIGHT LTD    PUBLIC REL        251009000812490000017,ACH DEBIT,($12500.00)
09/12/2025,Wire,202512080027435   1/SAAR TECHNOLOGIES )Z.H( LTD       2540000053        /BNF/BOOK/2040933340JS,,$5470.00
09/15/2025,Wire,202509150001115   BRANDLIGHT AI LTD,WIRE IN INTL,$249970.00
09/15/2025,Ach,SLOANE & COMPANY  PAYMENT           IN2540000023021000021623115,ACH CREDIT,$20000.00
09/15/2025,Ach,iQuanti Inc.      ACCTVERIFY        250915            015CMPHJOZNM3WW021000020568419,ACH CREDIT,$0.01
09/16/2025,Wire,202509160002768   COLDIQ LLC                          BRANDLIGTH INVOICE NUMBER   25091200,WIRE OUT,($10000.00)
09/16/2025,,ANALYSIS ACTIVITY                    FOR 08/25,ACCOUNT ANALYSIS FEE,($87.36)
09/16/2025,Wire,202509160002834   GENER8 ADS LIMITED                  BRANDLIGHT INV 0487,WIRE OUT INTL,($315000.00)
09/17/2025,Ach,"SuSea, Inc.       Receivable        026IPCRVZ1L351Z SuSea, Inc. Bill.com InvIN2540000027021000026781223",ACH CREDIT,$36000.00
