תאריך,תיאור,אסמכתא,חובה,זכות
24/10/2025,FISHER INVESTMEN  INV-254000                 ,,,36000.0
29/10/2025,NATIONAL EMPLOYE  INVOICE           251029   ,,50147.11,
30/10/2025,"Deel, Inc.        Deel Inc.         251030   ",,21347.11,
02/11/2025,DAVID EDELMAN     SENDER            771305454,,,25000.0
06/11/2025,202506110000937   SOFWAVE MEDICAL LTD,,,12500.0
06/11/2025,202506110016386   ALISON NATHAN,,14696.15,
09/11/2025,NSKNOX TECHNOLOG  PAYMENTS          250911051,,,1.6
12/11/2025,WISE US INC       2540000056        From Inma,INV-2540000056,,7500.0
13/11/2025,MMS AS PAYCO6366  EDI PAYMNT        REF*TN*25,IN2540000028,,2000.0
13/11/2025,IRS USER FEE      PAYMENT           251113   ,,185.0,
17/11/2025,202511170002760   ANDREW BLOOM CONSULTING LLC,,15000.0,
17/11/2025,202511170002778   CONNEXUS LIMITED           ,,6743.25,
17/11/2025,ANALYSIS ACTIVITY                    FOR 10/2,,70.88,
19/11/2025,"202511190000619   HUBSPOT, INC               ",,2151.0,
19/11/2025,202511190000618   ATASH LAW P.C.             ,,3000.0,
21/11/2025,LOGMEIN           11.19.2025        RMR*IK*IN,,,20000.0
21/11/2025,202511210000794   LEO BURNETT LIMITED        ,INV-2540000068,,68000.0
25/11/2025,BRANDLIGHT LTD    PUBLIC REL        251125001,,12500.0,
25/11/2025,Teneo Strategy L  USSC 11.21        251124   , INV-2540000043,,18000.0
25/11/2025,"202511250006048   ARNON,TADMOR-LEVY          ",,17617.5,
26/11/2025,"Deel, Inc.        Deel Inc.         251126   ",,20235.6,
28/11/2025,NATIONAL EMPLOYE  INVOICE           251127   ,,57846.41,
08/12/2025,Google LLC        ACCTVERIFY        250812064,,,0.01
09/12/2025,"202509120000655   NATIONAL EMPLOYER SERVICES,",,15208.33,
09/12/2025,"202509120023384   NATIONAL EMPLOYER SERVICES,",,1968.94,
11/12/2025,202511120001515   BRANDLIGHT AI LTD,,,99970.0
11/12/2025,NATIONAL EMPLOYE  INVOICE           251112   ,,44612.11,
11/12/2025,202511120004018   SAS CADOA                  ,,2691.6,
11/12/2025,DEAL# 1449182,,15000.0,
12/12/2025,NATIONAL EMPLOYE  INVOICE           251212   ,,62480.72,
12/12/2025,202512120015895   XVERUM LLC                 ,,251.0,
12/12/2025,202512120015894   PHILIP STEIN AND ASSOCIATES,,400.0,
12/12/2025,202512120015893   ANDREW BLOOM CONSULTING LLC,,15000.0,
12/12/2025,202512120000975   SOFWAVE MEDICAL LTD        ,,,12500.0
12/12/2025,202512120000975   SOFWAVE MEDICAL LTD        ,INV-2540000034,,12500.0
15/12/2025,202512150001839   DAVID SHIELD - PASSPORTCARD,INV-2540000049,,11468.0
15/12/2025,202512150001590   BRANDLIGHT AI LTD,,,179970.0
16/12/2025,202512160000060   1/ZYG EDGE LTD             ,TO UPDATE,,6000.0
16/12/2025,ANALYSIS ACTIVITY                    FOR 11/2,,180.44,
22/12/2025,202512220022108   TENEO STRATEGY LIMITED     ,IN2540000025  +  INV-2540000063,,24000.0
24/12/2025,DATA AXLE         PJP ACH 12        251223   ,INV-2540000013,,30000.0
26/12/2025,"202512260018196   PELION VENTURES VIII, L.P. ",,,7466994.78
26/12/2025,202512260018536   PELION VENTURES VIII FINANC,,,6336001.38
26/12/2025,202512260018197   PELION VENTURES VIII - ENTR,,,728999.32
26/12/2025,"202512260018198   PELION VENTURES VIII-C, L.P",,,394500.38
26/12/2025,"202512260018195   PELION VENTURES VIII-A, L.P",,,73500.47
29/12/2025,202512290002823   PAYEM CSMRS PRGM FUNDING   ,,300000.0,
29/12/2025,202512290003170   XVERUM LLC                 ,,100.0,
29/12/2025,"Deel, Inc.        Deel Inc.         251229   ",,20734.33,
30/12/2025,HARTFORD FIRE IN  TRADE EXC         251230   ,TO UPDATE,,64500.0
30/12/2025,202512300017687   G20 VENTURES IV LP         ,,,3000000.0
31/12/2025,202601050004403   CARDUMEN DEEPTECH FUND II F,,,1547793.7
31/12/2025,202601050004397   CARDUMEN DEEPTECH II A SCR-,,,291749.86
31/12/2025,202601050004399   CARDUMEN DEEPTECH II ILS SC,,,160461.13
31/12/2025,202601070000745   MAYER BROWN LLP            ,,50000.0,
31/12/2025,Deposit,IN2540000030,,36000.0
31/12/2025,NATIONAL EMPLOYE  INVOICE           251231   ,,58945.81,
31/12/2025,202601050000914   LLORENTE   CUENCA MADRID SL,TO UPDATE,,3318.0
31/12/2025,GOOGLE            ACCTVERIFY        260108   ,,,0.1
