Post Date,BAI Description,Text,Transaction Type,Transaction Amount
24/10/2025,Ach,FISHER INVESTMEN  INV-254000                          RMR*IK*INV-2540000041\111000029037424,CREDIT,$36000.00
29/10/2025,Ach,NATIONAL EMPLOYE  INVOICE           251029            H1474823053200988010781,DEBIT,($50147.11)
30/10/2025,Ach,"Deel, Inc.        Deel Inc.         251030            ST-D1U6N9B4Q8H6091000011704312",DEBIT,($21347.11)
02/11/2025,ACH CREDIT,DAVID EDELMAN     SENDER            771305454000000000000000,CREDIT,$25000.00
06/11/2025,WIRE IN INTL,202506110000937   SOFWAVE MEDICAL LTD,CREDIT,$12500.00
06/11/2025,WIRE OUT,202506110016386   ALISON NATHAN,DEBIT,($14696.15)
09/11/2025,Ach,NSKNOX TECHNOLOG  PAYMENTS          250911051000016314384,ACH CREDIT,$1.60
12/11/2025,Ach,WISE US INC       2540000056        From Inmarkets Limited Via WISE111000022521506,CREDIT,$7500.00
13/11/2025,Ach,MMS AS PAYCO6366  EDI PAYMNT        REF*TN*2539002976*3900297603 Various invoicesDUSUSUSD\031100206145483,CREDIT,$2000.00
13/11/2025,Ach,IRS USER FEE      PAYMENT           251113            0000041036046194759,DEBIT,($185.00)
17/11/2025,Wire,202511170002760   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,DEBIT,($15000.00)
17/11/2025,Wire,202511170002778   CONNEXUS LIMITED                    BRANDLIGHT INVOICE NO342 AMSTERDAM,DEBIT,($6743.25)
17/11/2025,WIRE IN,ANALYSIS ACTIVITY                    FOR 10/25,DEBIT,($70.88)
19/11/2025,Wire,"202511190000619   HUBSPOT, INC                        BRANDLIGHT INVOICE #  674437393",DEBIT,($2151.00)
19/11/2025,Wire,202511190000618   ATASH LAW P.C.                      BRANDLIGHT   INV 2281,DEBIT,($3000.00)
21/11/2025,Ach,LOGMEIN           11.19.2025        RMR*IK*IN2540000033\111000022952939,CREDIT,$20000.00
21/11/2025,Wire,202511210000794   LEO BURNETT LIMITED                 /BNF//CHPREF/298487,CREDIT,$68000.00
25/11/2025,Ach,BRANDLIGHT LTD    PUBLIC REL        251125001111490000068,DEBIT,($12500.00)
25/11/2025,Ach,Teneo Strategy L  USSC 11.21        251124            00004599/7022000022916539,CREDIT,$18000.00
25/11/2025,Wire,"202511250006048   ARNON,TADMOR-LEVY                   BRANDLIGHT INC   901210",DEBIT,($17617.50)
26/11/2025,Ach,"Deel, Inc.        Deel Inc.         251126            ST-N7E4S3U1O0W7091000017812118",DEBIT,($20235.60)
28/11/2025,Ach,NATIONAL EMPLOYE  INVOICE           251127            H1496909053200985020828,DEBIT,($57846.41)
08/12/2025,ACH CREDIT,Google LLC        ACCTVERIFY        250812064209623364219,CREDIT,$0.01
09/12/2025,Wire,"202509120000655   NATIONAL EMPLOYER SERVICES, LLC     BRANDLIGHT INC",DEBIT,($15208.33)
09/12/2025,Wire,"202509120023384   NATIONAL EMPLOYER SERVICES, LLC     BRANDLIGHT INC",DEBIT,($1968.94)
11/12/2025,Wire,202511120001515   BRANDLIGHT AI LTD,CREDIT,$99970.00
11/12/2025,Ach,NATIONAL EMPLOYE  INVOICE           251112            H1484129053200986774404,DEBIT,($44612.11)
11/12/2025,Wire,202511120004018   SAS CADOA                           BRANDLIGHT  CAD2442,DEBIT,($2691.60)
11/12/2025,WIRE IN,DEAL# 1449182,DEBIT,($15000.00)
12/12/2025,Ach,NATIONAL EMPLOYE  INVOICE           251212            H1505343053200981966806,DEBIT,($62480.72)
12/12/2025,Wire,202512120015895   XVERUM LLC                          BRANDLIGHT,DEBIT,($251.00)
12/12/2025,Wire,202512120015894   PHILIP STEIN AND ASSOCIATES LTD     PRO FORMA INVOICE PI25006749   BRAND,DEBIT,($400.00)
12/12/2025,Wire,202512120015893   ANDREW BLOOM CONSULTING LLC         BRANDLIGHT INC,DEBIT,($15000.00)
12/12/2025,Wire,202512120000975   SOFWAVE MEDICAL LTD                 INVOICE NO. 034 DATED 1NOV25,CREDIT,$12500.00
12/12/2025,Wire,202512120000975   SOFWAVE MEDICAL LTD                 INVOICE NO. 034 DATED 1NOV25,CREDIT,$12500.00
15/12/2025,Wire,202512150001839   DAVID SHIELD - PASSPORTCARD LTD     INV-2540000049 PAYMENTFROM HQ INV-2,CREDIT,$11468.00
15/12/2025,Wire,202512150001590   BRANDLIGHT AI LTD,CREDIT,$179970.00
16/12/2025,Wire,202512160000060   1/ZYG EDGE LTD                      INV-2540000050    /BNF/BOOK/2142221348JS,CREDIT,$6000.00
16/12/2025,WIRE IN,ANALYSIS ACTIVITY                    FOR 11/25,DEBIT,($180.44)
22/12/2025,Wire,202512220022108   TENEO STRATEGY LIMITED              /ROC/BRANDLIGHT INC///URI/INV-254000/BNF//CHPREF/85870,CREDIT,$24000.00
24/12/2025,Ach,DATA AXLE         PJP ACH 12        251223            133326042000010853801,CREDIT,$30000.00
26/12/2025,Wire,"202512260018196   PELION VENTURES VIII, L.P.          PELION VENTURES VIII -SERIES A - BR",CREDIT,$7466994.78
26/12/2025,Wire,202512260018536   PELION VENTURES VIII FINANCIAL      PELION VENTURES VIII FIF - SERIES A-,CREDIT,$6336001.38
