?????,?????,????,????,????,,??????
24/10/2025,FISHER INVESTMEN INV- RMR*IK*INV-\,,36000,36000,,Revenue
29/10/2025,NATIONAL EMPLOYE INVOICE H,50147,,-14147,,Employee Salaries & Benefits
30/10/2025,Deel,21347,,-35494,,Employee Salaries & Benefits
03/11/2025,The Yard 2 Lower SIGONFILE,1550,,-37044,,Office Rent
03/11/2025,BRANDLIGHT LTD LEVERAGED,3500,,-40544,,Marketing & Advertising
04/11/2025,NSKNOX TECHNOLOG PAYMENTS,,3,-40541,,Bank Fees & interest
04/11/2025,PRIME ONLINE LIMITED BRANDLIGHT INC. INV,,5960,-34581,,Revenue
04/11/2025,PHILIP STEIN AND ASSOCIATES LTD PRO FORM,1375,,-35956,,Professional Services
04/11/2025,NSKNOX TECHNOLOGIES,3,,-35959,,Bank Fees & interest
07/11/2025,PAYEM CSMRS PRGM FUNDING BRANDLIGHT AI,100000,,-135959,,Credit/Debit banks/Accounts
10/11/2025,CENSUSWIDE LTD BRANDLIGHT REMAINING INV.,6000,,-141959,,Marketing & Advertising
10/11/2025,NSKNOX TECHNOLOGIES,3,,-141962,,Bank Fees & interest
12/11/2025,BRANDLIGHT AI LTD,,99970,-41992,,Credit/Debit banks/Accounts
12/11/2025,SAS CADOA BRANDLIGHT CAD2442,2692,,-44684,,Technology
12/11/2025,NATIONAL EMPLOYE INVOICE H,44612,,-89296,,Employee Salaries & Benefits
12/11/2025,DEAL# 1449182,15000,,-104296,,Marketing & Advertising
13/11/2025,MMS AS PAYCO6366 EDI PAYMNT REF*TN** Var,,2000,-102296,,Revenue
13/11/2025,IRS USER FEE PAYMENT,185,,-102481,,Authorities
17/11/2025,ANDREW BLOOM CONSULTING LLC BRANDLIGHT I,15000,,-117481,,Vendors
17/11/2025,CONNEXUS LIMITED BRANDLIGHT INVOICE NO34,6743,,-124224,,Marketing & Advertising
17/11/2025,ANALYSIS ACTIVITY FOR 10/25,71,,-124295,,Bank Fees & interest
19/11/2025,ATASH LAW P.C. BRANDLIGHT INV 2281,3000,,-127295,,Professional Services
19/11/2025,HUBSPOT,2151,,-129446,,Marketing & Advertising
21/11/2025,LOGMEIN 11.19.2025 RMR*IK*IN\,,20000,-109446,,Revenue
21/11/2025,LEO BURNETT LIMITED /BNF//CHPREF/,,68000,-41446,,Revenue
25/11/2025,Teneo Strategy L USSC 11.21 00004599/,,18000,-23446,,Revenue
25/11/2025,ARNON,17618,,-41064,,Professional Services
25/11/2025,BRANDLIGHT LTD PUBLIC REL,12500,,-53564,,Marketing & Advertising
26/11/2025,Deel,20236,,-73800,,Employee Salaries & Benefits
28/11/2025,NATIONAL EMPLOYE INVOICE H,57846,,-131646,,Employee Salaries & Benefits
01/12/2025,ISCAR LTD INVOICES,,29970,-101676,,Revenue
04/12/2025,KIMBERLY CL6933 EDI PAYMNT,,25000,-76676,,Revenue
09/12/2025,1/SAAR TECHNOLOGIES )Z.H( LTD /BNF/BOOK/,,5470,-71206,,Revenue
11/12/2025,WISE US INC From Inmarkets Limited Via W,,7500,-63706,,Revenue
12/12/2025,SOFWAVE MEDICAL LTD INVOICE NO. 034 DATE,,12500,-51206,,Marketing & Advertising
12/12/2025,ANDREW BLOOM CONSULTING LLC BRANDLIGHT I,15000,,-66206,,Marketing & Advertising
12/12/2025,SOFWAVE MEDICAL LTD INVOICE NO. 034 DATE,,12500,-53706,,Revenue
12/12/2025,PHILIP STEIN AND ASSOCIATES LTD PRO FORM,400,,-54106,,Professional Services
12/12/2025,XVERUM LLC BRANDLIGHT,251,,-54357,,Professional Services
12/12/2025,NATIONAL EMPLOYE INVOICE H,62481,,-116838,,Employee Salaries & Benefits
15/12/2025,DAVID SHIELD - PASSPORTCARD LTD INV- PAY,,11468,-105370,,Revenue
15/12/2025,BRANDLIGHT AI LTD,,179970,74600,,Credit/Debit banks/Accounts
16/12/2025,1/ZYG EDGE LTD INV- /BNF/BOOK/JS,,6000,80600,,Revenue
16/12/2025,ANALYSIS ACTIVITY FOR 11/25,180,,80420,,Bank Fees & interest
22/12/2025,TENEO STRATEGY LIMITED /ROC/BRANDLIGHT I,,24000,104420,,Revenue
24/12/2025,DATA AXLE PJP ACH 12,,30000,134420,,Revenue
26/12/2025,PELION VENTURES VIII-A,,73500,207920,,Investment
26/12/2025,PELION VENTURES VIII-C,,394500,602420,,Investment
26/12/2025,PELION VENTURES VIII - ENTREPRENEU+ PELI,,728999,1331419,,Investment
26/12/2025,PELION VENTURES VIII FINANCIAL PELION VE,,6336001,7667420,,Investment
26/12/2025,PELION VENTURES VIII,,7466995,15134415,,Investment
29/12/2025,PAYEM CSMRS PRGM FUNDING BRANDLIGHT AI,300000,,14834415,,Credit/Debit banks/Accounts
29/12/2025,XVERUM LLC BRANDLIGHT,100,,14834315,,Recruitment
29/12/2025,Deel,20734,,14813581,,Employee Salaries & Benefits
30/12/2025,HARTFORD FIRE IN TRADE EXC,,64500,14878081,,Revenue
30/12/2025,G20 VENTURES IV LP BRANDLIGHT INC SAFE,,3000000,17878081,,Investment
31/12/2025,NATIONAL EMPLOYE INVOICE H,58946,,17819135,,Employee Salaries & Benefits
31/12/2025,Deposit,,36000,17855135,,Revenue
31/12/2025,LLORENTE CUENCA MADRID SL /ROC/AFJQ18/UR,,3318,17858453,,Revenue
31/12/2025,CARDUMEN DEEPTECH II ILS SCR-PYME ABA/RO,,160461,18018914,,Investment
31/12/2025,CARDUMEN DEEPTECH II A SCR-PYME S PLEASE,,291750,18310664,,Investment
31/12/2025,CARDUMEN DEEPTECH FUND II FCRE PLEASE PA,,1547794,19858458,,Investment
31/12/2025,MAYER BROWN LLP 25802709 INVESTMENT INBR,50000,,19808458,,Professional Services
31/12/2025,GOOGLE ACCTVERIFY US004A0Q,,,19808458,,Bank Fees & interest
